first_word,second_word,bigram,count
"انا","صراحه","انا صراحه",4
"مب","متاكد","مب متاكد",4
"تصير","لي","تصير لي",4
"تحلون","هالمشكله","تحلون هالمشكله",4
"معقول","هالتاخير","معقول هالتاخير",4
"حساب","عميل","حساب عميل",4
"ولا","لا","ولا لا",4
"علي","تعاونكم","علي تعاونكم",4
"بس","بغيت","بس بغيت",4
"كنت","اتوقع","كنت اتوقع",4
"شنو","المشكله","شنو المشكله",4
"مقدما","علي","مقدما علي",4
"اكتشفت","انه","اكتشفت انه",4
"توقعت","هالمستوي","توقعت هالمستوي",4
"من","حولي،","من حولي،",4
"ترجع","لي","ترجع لي",4
"شي","مو","شي مو",4
"اي","مشكله","اي مشكله",4
"ابي","اشتري","ابي اشتري",4
"حلوه،","بس","حلوه، بس",4
"احتاج","اتاكد","احتاج اتاكد",4
"واول","مره","واول مره",4
"ياخي","انا","ياخي انا",4
"افضل","من","افضل من",4
"يصير","معاي","يصير معاي",4
"اليوم،","متي","اليوم، متي",4
"علي","الخدمه","علي الخدمه",4
"اعرف","ايش","اعرف ايش",4
"نقدر","نسوي","نقدر نسوي",4
"يا","ريت","يا ريت",4
"وانا","احاول","وانا احاول",4
"لي","في","لي في",4
"اقدر","ادفع","اقدر ادفع",4
"سمعت","في","سمعت في",4
"اتعامل","وياكم","اتعامل وياكم",4
"عشان","اشتري","عشان اشتري",4
"حق","اهل","حق اهل",4
"اريد","حل","اريد حل",4
"ترسلون","لي","ترسلون لي",4
"ميلاد","ولده،","ميلاد ولده،",4
"يبيها","لعيد","يبيها لعيد",4
"تخفيض","خاص","تخفيض خاص",4
"تخبرني","عن","تخبرني عن",4
"العرض","قبل","العرض قبل",4
"فقط،","هل","فقط، هل",4
"ممكن","اجي","ممكن اجي",4
"المحل","اليوم","المحل اليوم",4
"اليوم","بعد","اليوم بعد",4
"اخوي","قريب","اخوي قريب",4
"خصومات","او","خصومات او",4
"المتوفره","عندكم","المتوفره عندكم",4
"المغرب،","لان","المغرب، لان",4
"منكم","وكنت","منكم وكنت",4
"يشتري","نفس","يشتري نفس",4
"اخي","يبغي","اخي يبغي",4
"يصير","معي","يصير معي",4
"علي","طول","علي طول",4
"مو","نفس","مو نفس",4
"انكم","توفرون","انكم توفرون",4
"من","ماركه","من ماركه",4
"اذا","احتجت","اذا احتجت",4
"من","المحل","من المحل",4
"صلاله،","بس","صلاله، بس",4
"عندكم","بس","عندكم بس",4
"لي","اليوم","لي اليوم",4
"ممكن","ارجع","ممكن ارجع",4
"تردوا","علي","تردوا علي",4
"عشان","اضمن","عشان اضمن",4
"وانا","عميل","وانا عميل",4
"ابي","اشوف","ابي اشوف",4
"ما","تقدرون","ما تقدرون",4
"شي","تكون","شي تكون",4
"مشكله","كبيره","مشكله كبيره",4
"اخوي","انا","اخوي انا",4
"وقت","طويل","وقت طويل",4
"لو","تعطوني","لو تعطوني",4
"خدمه","توصيل","خدمه توصيل",4
"جديد","في","جديد في",4
"وكنت","ابغي","وكنت ابغي",4
"العرض","هذا","العرض هذا",4
"كنت","اشوف","كنت اشوف",4
"منكم","واحتاج","منكم واحتاج",4
"اذا","اشتريت","اذا اشتريت",4
"اللي","قلتوا","اللي قلتوا",4
"وعنده","عيد","وعنده عيد",4
"خبروني","اذا","خبروني اذا",4
"خاص","لو","خاص لو",4
"مناسبه","قريب","مناسبه قريب",4
"عندكم،","وابي","عندكم، وابي",4
"اللي","طاف،","اللي طاف،",4
"صار","عندي","صار عندي",4
"لاني","افكر","لاني افكر",4
"منكم","قبل","منكم قبل",4
"ولا","لا؟","ولا لا؟",4
"لان","ودي","لان ودي",4
"طلبت","اليوم","طلبت اليوم",4
"ما","ودي","ما ودي",4
"الحين","عشان","الحين عشان",4
"ميلاد","اليوم،","ميلاد اليوم،",4
"خاصه","اذا","خاصه اذا",4
"طلبت","قبل","طلبت قبل",4
"شكرا","لكم،","شكرا لكم،",4
"ممكن","اتواصل","ممكن اتواصل",4
"بس","قبل","بس قبل",4
"حق","دايم","حق دايم",4
"العرض","حق","العرض حق",4
"ليت","لو","ليت لو",4
"وما","ابغي","وما ابغي",4
"ابغي","اتاخر","ابغي اتاخر",4
"المغرب،","عندي","المغرب، عندي",4
"المميزين","مثلي؟","المميزين مثلي؟",4
"شيء","رخيص،","شيء رخيص،",4
"لاخوي،","بس","لاخوي، بس",4
"اخوي","قبل","اخوي قبل",4
"wants","this","wants this",4
"for","his","for his",4
"his","birthday","his birthday",4
"ثاني،","شنو","ثاني، شنو",4
"ابا","شي","ابا شي",4
"منكم،","واحتاج","منكم، واحتاج",4
"عروض","ثانيه","عروض ثانيه",4
"تقدرون","توصلونه","تقدرون توصلونه",4
"عطر","معين،","عطر معين،",4
"اقدر","امر","اقدر امر",4
"الجمعه","اليايه،","الجمعه اليايه،",4
"تعطيني","تفاصيل","تعطيني تفاصيل",4
"اليوم؟","سمعت","اليوم؟ سمعت",4
"فهل","في","فهل في",4
"لو","اخذنا","لو اخذنا",4
"ممكن","اسال","ممكن اسال",4
"متاكد","بعد","متاكد بعد",4
"تخفيضات","قبل","تخفيضات قبل",4
"اطلب","الحين","اطلب الحين",4
"للـ","عميل","للـ عميل",4
"اذا","يناسبني","اذا يناسبني",4
"العطر","قبل","العطر قبل",4
"المغرب","احتاج","المغرب احتاج",4
"تنصحوني","فيه؟","تنصحوني فيه؟",4
"صراحه","انا","صراحه انا",4
"فخم","بس","فخم بس",4
"فقط","قبل","فقط قبل",4
"قولوا","لي","قولوا لي",4
"من","صديقي","من صديقي",4
"وحبيت","اعرف","وحبيت اعرف",4
"العرض","اليوم","العرض اليوم",4
"قال","يبغي","قال يبغي",4
"اخلص","قبل","اخلص قبل",4
"الحين","قبل","الحين قبل",4
"اذا","خذيت","اذا خذيت",4
"عن","شي","عن شي",4
"تعطوني","فكره","تعطوني فكره",4
"المشكله","ان","المشكله ان",4
"احتاج","الغي","احتاج الغي",4
"الغي","قبل","الغي قبل",4
"ما","احتاجه","ما احتاجه",4
"احتاجها","اليوم","احتاجها اليوم",4
"رخيص،","بس","رخيص، بس",4
"شي","متوفر؟","شي متوفر؟",4
"اذا","مو","اذا مو",4
"سمعت","عنكم","سمعت عنكم",4
"عن","التخفيضات","عن التخفيضات",4
"موجود","في","موجود في",4
"ما","لقيته","ما لقيته",4
"شنو","المنتجات","شنو المنتجات",4
"لقيت","اللي","لقيت اللي",4
"اللي","ابغيه","اللي ابغيه",4
"ياليت","تخبروني","ياليت تخبروني",4
"كريم","اساس","كريم اساس",4
"اليديده","اللي","اليديده اللي",4
"في","العرض","في العرض",4
"شفته","في","شفته في",4
"لقيتها","في","لقيتها في",4
"تقدرون","تقولون","تقدرون تقولون",4
"في","منتجات","في منتجات",4
"متوفر","قبل","متوفر قبل",4
"في","فرع","في فرع",4
"حصلته","في","حصلته في",4
"من","ظفار","من ظفار",4
"توفرونه","لي","توفرونه لي",4
"مشكورين","وايد","مشكورين وايد",4
"فيه","توصيل","فيه توصيل",4
"حصلت","اللي","حصلت اللي",4
"معاكم","وسمعت","معاكم وسمعت",4
"افضل","خدمه","افضل خدمه",4
"وما","ابي","وما ابي",4
"الغيه","قبل","الغيه قبل",4
"بس","شفت","بس شفت",4
"طلبي","حق","طلبي حق",4
"طيب،","في","طيب، في",4
"عندكم","الاسبوع","عندكم الاسبوع",4
"طلبت","عطر","طلبت عطر",4
"عطر","منكم","عطر منكم",4
"في","الموقع؟","في الموقع؟",4
"بالمناسبه،","شنو","بالمناسبه، شنو",4
"اتمني","يكون","اتمني يكون",4
"اسمع","منكم","اسمع منكم",4
"الشوز","اللي","الشوز اللي",4
"امس،","بس","امس، بس",4
"طلبت","شي","طلبت شي",4
"لحد","الجمعه","لحد الجمعه",4
"منكم،","وكنت","منكم، وكنت",4
"اذا","قدرتوا","اذا قدرتوا",4
"اليوم،","لاني","اليوم، لاني",4
"لكن","الحين","لكن الحين",4
"تكون","متوفره","تكون متوفره",4
"بس","تاكد","بس تاكد",4
"محتاج","اخلص","محتاج اخلص",4
"لانه","ضروري","لانه ضروري",4
"يستخدم","الانترنت","يستخدم الانترنت",4
"وحده","ثانيه","وحده ثانيه",4
"شغلي","قبل","شغلي قبل",4
"فندق","في","فندق في",4
"ممكن","تفيدني","ممكن تفيدني",4
"علي","مساعدتك،","علي مساعدتك،",4
"ارجعها","قبل","ارجعها قبل",4
"الرد","اليوم","الرد اليوم",4
"من","حاله","من حاله",4
"اشتريت","دراجه","اشتريت دراجه",4
"علي","الانترنت","علي الانترنت",4
"سمعت","عنها","سمعت عنها",4
"عروض","الفنادق","عروض الفنادق",4
"من","سوق","من سوق",4
"سعر","افضل","سعر افضل",3
"اليوم،","عشان","اليوم، عشان",3
"زين،","شلون","زين، شلون",3
"وابغي","اشتري","وابغي اشتري",3
"تسوون","عروض","تسوون عروض",3
"ممكن","تفيدوني","ممكن تفيدوني",3
"واتمني","احصل","واتمني احصل",3
"فقط،","ممكن","فقط، ممكن",3
"احتاج","حاجه","احتاج حاجه",3
"مو","غاليه","مو غاليه",3
"بس","تكون","بس تكون",3
"تكون","ممتازه،","تكون ممتازه،",3
"افكر","اخد","افكر اخد",3
"ويا","الانترنت","ويا الانترنت",3
"دايم","وياكم،","دايم وياكم،",3
"لازم","اخلصها","لازم اخلصها",3
"لازم","يصير","لازم يصير",3
"شي","لازم","شي لازم",3
"اراجع","البنك","اراجع البنك",3
"ما","اتاخر","ما اتاخر",3
"او","عرض","او عرض",3
"عندي","استفسار،","عندي استفسار،",3
"استفسار،","شنو","استفسار، شنو",3
"يكون","ارخص","يكون ارخص",3
"لو","اقدر","لو اقدر",3
"احصل","خصم","احصل خصم",3
"الانترنت","يكون","الانترنت يكون",3
"الوضع","مو","الوضع مو",3
"شنو","اللي","شنو اللي",3
"ممكن","توفرونه","ممكن توفرونه",3
"سريع،","لان","سريع، لان",3
"اليوم؟","لاني","اليوم؟ لاني",3
"محتاج","اعرف","محتاج اعرف",3
"مهم","جدا","مهم جدا",3
"سريع،","شنو","سريع، شنو",3
"تري","عندي","تري عندي",3
"بعد","كم","بعد كم",3
"حتي","لو","حتي لو",3
"عندكم","علي","عندكم علي",3
"خصومات","قبل","خصومات قبل",3
"المغرب،","صحيح","المغرب، صحيح",3
"صحيح","هالكلام؟","صحيح هالكلام؟",3
"استخدم","الانترنت","استخدم الانترنت",3
"سعر","افضل؟","سعر افضل؟",3
"انترنت","سريع","انترنت سريع",3
"فيه","انقطاع","فيه انقطاع",3
"انقطاع","في","انقطاع في",3
"الامور","قبل","الامور قبل",3
"اتمني","ما","اتمني ما",3
"مع","الحجز","مع الحجز",3
"اهم","شيء","اهم شيء",3
"مناسب","وما","مناسب وما",3
"شغل","ضروري","شغل ضروري",3
"،","ما","، ما",3
"دراجه","منكم","دراجه منكم",3
"مع","اخوي","مع اخوي",3
"لمناسبه","عيد","لمناسبه عيد",3
"؟","وحده","؟ وحده",3
"وواجهت","مشكله","وواجهت مشكله",3
"في","الاتصال","في الاتصال",3
"محتاج","اتاكد","محتاج اتاكد",3
"الوضع","قبل","الوضع قبل",3
"عندي","حجز","عندي حجز",3
"او","بس","او بس",3
"المشكله","في","المشكله في",3
"محتاج","الخدمه","محتاج الخدمه",3
"للعيد","ميلاد","للعيد ميلاد",3
"وقت","ممكن","وقت ممكن",3
"اجي","اليوم","اجي اليوم",3
"اتواصل","معاكم","اتواصل معاكم",3
"اليوم","عندي","اليوم عندي",3
"حل","سريع؟","حل سريع؟",3
"اليوم،","قبل","اليوم، قبل",3
"ممكن","تسوي","ممكن تسوي",3
"وادور","شي","وادور شي",3
"الو،","السلام","الو، السلام",3
"الحجز","في","الحجز في",3
"يقولون","لي","يقولون لي",3
"ما","ادري،","ما ادري،",3
"البنك،","بس","البنك، بس",3
"ادفع","وايد،","ادفع وايد،",3
"تخبروني","عشان","تخبروني عشان",3
"اعرف","لو","اعرف لو",3
"يشتغل","من","يشتغل من",3
"من","امس","من امس",3
"ارتب","اموري","ارتب اموري",3
"احتاج","واحد","احتاج واحد",3
"فقط","او","فقط او",3
"يمكن","اشتري","يمكن اشتري",3
"اكثر","اذا","اكثر اذا",3
"فعلا","محتاج","فعلا محتاج",3
"تكون","عندي","تكون عندي",3
"من","الربع","من الربع",3
"مع","النت","مع النت",3
"صحيح","الكلام؟","صحيح الكلام؟",3
"رخيص،","مو","رخيص، مو",3
"محتاج","حل","محتاج حل",3
"الصراحه،","انا","الصراحه، انا",3
"لين","ما","لين ما",3
"نخلص","الموضوع","نخلص الموضوع",3
"يوم","الجمعه؟","يوم الجمعه؟",3
"رخيص","ومناسب","رخيص ومناسب",3
"اخوي،","شنو","اخوي، شنو",3
"اشتريها","قبل","اشتريها قبل",3
"معاكم،","بس","معاكم، بس",3
"هالشي","قبل","هالشي قبل",3
"اليوم","عيد","اليوم عيد",3
"ميلاد","بنتي","ميلاد بنتي",3
"اعتمد","علي","اعتمد علي",3
"وواحد","لاخوي","وواحد لاخوي",3
"اخوي،","تقدرون","اخوي، تقدرون",3
"تقدرون","توصلونها","تقدرون توصلونها",3
"توصلونها","قبل","توصلونها قبل",3
"توقعت","هالخدمه","توقعت هالخدمه",3
"من","دبي","من دبي",3
"مشكله","بخصوص","مشكله بخصوص",3
"رخيص","اذا","رخيص اذا",3
"ما","قدرت","ما قدرت",3
"توصلونه","قبل","توصلونه قبل",3
"قبل","؟","قبل ؟",3
"وعندي","مشكله","وعندي مشكله",3
"احاول","اتواصل","احاول اتواصل",3
"اخذت","غرفتين،","اخذت غرفتين،",3
"غرفتين،","شنو","غرفتين، شنو",3
"من","الشباب","من الشباب",3
"هالنوع","من","هالنوع من",3
"حق","شغله","حق شغله",3
"ما","رجع","ما رجع",3
"فيه","مشاكل","فيه مشاكل",3
"مشاكل","مع","مشاكل مع",3
"شنو","،","شنو ،",3
"بس","احس","بس احس",3
"محتاجها","قبل","محتاجها قبل",3
"انه","اليوم","انه اليوم",3
"زينه","بس","زينه بس",3
"محتاج","اقرر","محتاج اقرر",3
"اخلص","اليوم","اخلص اليوم",3
"شي","اقدر","شي اقدر",3
"ممكن","نحصل","ممكن نحصل",3
"محتاجها","حق","محتاجها حق",3
"ثاني،","بس","ثاني، بس",3
"اللي","اقدر","اللي اقدر",3
"الو","مرحبا،","الو مرحبا،",3
"الرد","باسرع","الرد باسرع",3
"في","عيد","في عيد",3
"لي","الموضوع","لي الموضوع",3
"،","صح؟","، صح؟",3
"ميلاد،","شنو","ميلاد، شنو",3
"الخدمه","عندكم","الخدمه عندكم",3
"له","يومين","له يومين",3
"في","البنك،","في البنك،",3
"الدعم","الفني","الدعم الفني",3
"في","فايده","في فايده",3
"نفس","المشكله،","نفس المشكله،",3
"ابغي","حد","ابغي حد",3
"بعد","بكره","بعد بكره",3
"المحرق","وسمعت","المحرق وسمعت",3
"حق","عميل","حق عميل",3
"شنو","السالفه؟","شنو السالفه؟",3
"كنت","بحجز","كنت بحجز",3
"لي","انكم","لي انكم",3
"لاخوي","قبل","لاخوي قبل",3
"قبل","عيد","قبل عيد",3
"اللي","بيكون","اللي بيكون",3
"تواصلت","معاكم","تواصلت معاكم",3
"يساعدني","في","يساعدني في",3
"يومين","ما","يومين ما",3
"المغرب","كان","المغرب كان",3
"اذا","المشكله","اذا المشكله",3
"لانه","عندي","لانه عندي",3
"حل","ثاني","حل ثاني",3
"انا","اخوي","انا اخوي",3
"احتاج","احجز","احتاج احجز",3
"شلون","ادفع","شلون ادفع",3
"لازم","استخدم","لازم استخدم",3
"هلا،","انا","هلا، انا",3
"تساعدوني","او","تساعدوني او",3
"معاكم","خالد","معاكم خالد",3
"خالد","من","خالد من",3
"فتره","ما","فتره ما",3
"يشتغل","عدل،","يشتغل عدل،",3
"المشكله","من","المشكله من",3
"ولا","من","ولا من",3
"اقدر","اسويها","اقدر اسويها",3
"اتعامل","معكم،","اتعامل معكم،",3
"المبلغ","يرجع","المبلغ يرجع",3
"بسرعه،","عندي","بسرعه، عندي",3
"واحتاج","مساعدتكم","واحتاج مساعدتكم",3
"سمحتوا،","لان","سمحتوا، لان",3
"ما","قصرتوا","ما قصرتوا",3
"خدمه","افضل،","خدمه افضل،",3
"اقدر","اسوي","اقدر اسوي",3
"كنت","حاجز","كنت حاجز",3
"حاجز","رحله","حاجز رحله",3
"لي","مشكله","لي مشكله",3
"من","خلال","من خلال",3
"من","الدوحه،","من الدوحه،",3
"لكم","علي","لكم علي",3
"عن","طريقه","عن طريقه",3
"اضمن","انها","اضمن انها",3
"اي","رسوم","اي رسوم",3
"رسوم","اضافيه،","رسوم اضافيه،",3
"في","تسجيل","في تسجيل",3
"من","تلفوني","من تلفوني",3
"صراحه","الوضع","صراحه الوضع",3
"عندي","رحله","عندي رحله",3
"الحين،","ما","الحين، ما",3
"وقت","اضيع،","وقت اضيع،",3
"رحله","قريب","رحله قريب",3
"مساعده","في","مساعده في",3
"وقت","ممكن،","وقت ممكن،",3
"هذا","ما","هذا ما",3
"المفروض","يوصلني","المفروض يوصلني",3
"اسبوع","وما","اسبوع وما",3
"لسه","ما","لسه ما",3
"انتظر","وما","انتظر وما",3
"الغاء","الطلب","الغاء الطلب",3
"طلبت","خدمه","طلبت خدمه",3
"جدا","من","جدا من",3
"احد","يتواصل","احد يتواصل",3
"جربت","كل","جربت كل",3
"بدون","فايده","بدون فايده",3
"ممكن","ترسلون","ممكن ترسلون",3
"في","حل،","في حل،",3
"الوضع","صار","الوضع صار",3
"حل","المشكله","حل المشكله",3
"ان","كلمه","ان كلمه",3
"اشتري","بعض","اشتري بعض",3
"بس","ابيه","بس ابيه",3
"احتاجه","اليوم","احتاجه اليوم",3
"ردوا","علي","ردوا علي",3
"لانه","لازم","لانه لازم",3
"هلا،","عندكم","هلا، عندكم",3
"الثلاجه","اللي","الثلاجه اللي",3
"المغرب،","ضروري","المغرب، ضروري",3
"عن","منتجات","عن منتجات",3
"شنو","تنصحوني","شنو تنصحوني",3
"اخوي","يقول","اخوي يقول",3
"يبغي","هذا","يبغي هذا",3
"بنت","اختي،","بنت اختي،",3
"ممكن","اتاكد","ممكن اتاكد",3
"مرحبا،","ممكن","مرحبا، ممكن",3
"الخيارات","اللي","الخيارات اللي",3
"نقدر","نرتب","نقدر نرتب",3
"اللي","يناسبني","اللي يناسبني",3
"ضروري","جدا","ضروري جدا",3
"دايم","بس","دايم بس",3
"عن","توفر","عن توفر",3
"احتاج","هديه","احتاج هديه",3
"لاني","بسافر","لاني بسافر",3
"احتاج","وحده","احتاج وحده",3
"احتاج","اشتري","احتاج اشتري",3
"حذاء","رياضي","حذاء رياضي",3
"بصراحه","دايم","بصراحه دايم",3
"رخيص","لكن","رخيص لكن",3
"ما","حصلتها","ما حصلتها",3
"حصلتها","في","حصلتها في",3
"موجوده","علي","موجوده علي",3
"شي","لعيد","شي لعيد",3
"اللون","الازرق","اللون الازرق",3
"اخوي","يبغاها","اخوي يبغاها",3
"يكون","السعر","يكون السعر",3
"ولا","بيكون","ولا بيكون",3
"العرض","مستمر","العرض مستمر",3
"الاسبوع","الياي؟","الاسبوع الياي؟",3
"تري","اذا","تري اذا",3
"هلا","اخوي،","هلا اخوي،",3
"اقدر","اقرر","اقدر اقرر",3
"عندكم","حق","عندكم حق",3
"لقيتها","عندكم","لقيتها عندكم",3
"الجمعه","الجاي،","الجمعه الجاي،",3
"حصلت","شي","حصلت شي",3
"تكون","رخيصه","تكون رخيصه",3
"اليوم،","خبرني","اليوم، خبرني",3
"خبرني","عشان","خبرني عشان",3
"السلام،","نعم","السلام، نعم",3
"تدور","عليه؟","تدور عليه؟",3
"احتاج","لعبه","احتاج لعبه",3
"لعبه","هديه","لعبه هديه",3
"يكون","سعرها","يكون سعرها",3
"اشتريت","لعبه","اشتريت لعبه",3
"المتوفره","عندكم؟","المتوفره عندكم؟",3
"وعليكم","السلام","وعليكم السلام",3
"سعره","معقول","سعره معقول",3
"؟","في","؟ في",3
"حق","العملاء","حق العملاء",3
"اللي","مع","اللي مع",3
"اشتري","كمبيوتر","اشتري كمبيوتر",3
"استخدم","بطاقه","استخدم بطاقه",3
"شي","غلط","شي غلط",3
"مره","احاول","مره احاول",3
"دخول","من","دخول من",3
"المفروض","ما","المفروض ما",3
"يصير","هالمشاكل","يصير هالمشاكل",3
"لازم","اخلصه","لازم اخلصه",3
"اضطر","اغير","اضطر اغير",3
"في","مطار","في مطار",3
"اقدر","استخدمه","اقدر استخدمه",3
"سفر","من","سفر من",3
"شلون","اتعامل","شلون اتعامل",3
"وانا","بعد","وانا بعد",3
"الشنطه","اذا","الشنطه اذا",3
"كل","هذا","كل هذا",3
"الطلب","حقي","الطلب حقي",3
"يصير","كذا","يصير كذا",3
"من","وين","من وين",3
"في","بنك","في بنك",3
"انحل","الموضوع","انحل الموضوع",3
"الموضوع","بسرعه،","الموضوع بسرعه،",3
"حل","فوري","حل فوري",3
"محتاج","الجهاز","محتاج الجهاز",3
"وانا","عندي","وانا عندي",3
"احصل","خدمه","احصل خدمه",3
"توي","شاري","توي شاري",3
"وقتي","علي","وقتي علي",3
"منكم","و","منكم و",3
"حسيت","انه","حسيت انه",3
"في","الرياض؟","في الرياض؟",3
"متحمس","اجرب","متحمس اجرب",3
"يصير","هالتاخير","يصير هالتاخير",3
"هالتاخير","في","هالتاخير في",3
"لي","جهاز","لي جهاز",3
"كنت","ناوي","كنت ناوي",3
"وقت","حق","وقت حق",3
"وما","عارف","وما عارف",3
"عارف","شلون","عارف شلون",3
"شي،","بس","شي، بس",3
"لي","خطا","لي خطا",3
"شفتها","عندكم","شفتها عندكم",3
"اللي","مو","اللي مو",3
"اطلب","شنطه","اطلب شنطه",3
"اذا","لازم","اذا لازم",3
"بعد","في","بعد في",3
"العملاء","وما","العملاء وما",3
"بصراحه","توقعت","بصراحه توقعت",3
"توقعت","الخدمه","توقعت الخدمه",3
"يوصلني","في","يوصلني في",3
"من","يومين،","من يومين،",3
"احتاج","الجهاز","احتاج الجهاز",3
"في","حسابي","في حسابي",3
"علي","من","علي من",3
"من","البنك،","من البنك،",3
"صار","حل","صار حل",3
"اضطر","اعيد","اضطر اعيد",3
"مره،","بس","مره، بس",3
"بس","حبيت","بس حبيت",3
"حبيت","اعرف","حبيت اعرف",3
"دايما","خدماتكم","دايما خدماتكم",3
"كعميل","دايم","كعميل دايم",3
"فيه","خيار","فيه خيار",3
"في","حولي","في حولي",3
"احاول","اخلص","احاول اخلص",3
"اخلص","الدفع","اخلص الدفع",3
"ايش","الفايده","ايش الفايده",3
"من","اسبوع","من اسبوع",3
"وللحين","ما","وللحين ما",3
"الموظف","قال","الموظف قال",3
"المفروض","تكون","المفروض تكون",3
"بسعر","خاص","بسعر خاص",3
"عشان","كذا","عشان كذا",3
"شوفوا","لي","شوفوا لي",3
"بغيت","الغي","بغيت الغي",3
"طلبتها","من","طلبتها من",3
"بعد","شنو","بعد شنو",3
"فيه","خلل","فيه خلل",3
"عن","الخدمه","عن الخدمه",3
"يعلق","وما","يعلق وما",3
"ناوي","استخدمه","ناوي استخدمه",3
"سمحت،","ابغي","سمحت، ابغي",3
"وابي","اتاكد","وابي اتاكد",3
"مو","مثل","مو مثل",3
"كان","من","كان من",3
"او","اي","او اي",3
"توقعت","هالمشاكل","توقعت هالمشاكل",3
"هذا","مو","هذا مو",3
"في","الرياض","في الرياض",3
"لازم","اكنسل","لازم اكنسل",3
"مو","قادر","مو قادر",3
"وش","السالفه؟","وش السالفه؟",3
"احاول","اسوي","احاول اسوي",3
"ما","زبط","ما زبط",3
"تلفون","من","تلفون من",3
"مع","الاداره","مع الاداره",3
"شو","السالفه","شو السالفه",3
"شريته","منكم","شريته منكم",3
"اول","يوم","اول يوم",3
"لابتوب","لاول","لابتوب لاول",3
"قادر","ادخل","قادر ادخل",3
"انا","لازم","انا لازم",3
"اقدر","اشوف","اقدر اشوف",3
"من","فرع","من فرع",3
"بس","الظاهر","بس الظاهر",3
"ممكن","استرجع","ممكن استرجع",3
"شكرا،","اقدر","شكرا، اقدر",3
"وما","قادر","وما قادر",3
"جماعه،","انا","جماعه، انا",3
"عن","الدفع","عن الدفع",3
"دايم","ممكن","دايم ممكن",3
"ولا","فيه","ولا فيه",3
"ومحتاج","اعرف","ومحتاج اعرف",3
"وايد","زين","وايد زين",3
"يعتمد","علي","يعتمد علي",3
"ابي","تاكيد","ابي تاكيد",3
"لو","تساعدوني","لو تساعدوني",3
"من","الريان،","من الريان،",3
"اللي","سويتها","اللي سويتها",3
"ان","العمليه","ان العمليه",3
"استفيد","منها","استفيد منها",3
"انا","توني","انا توني",3
"توني","شاري","توني شاري",3
"منكم","اول","منكم اول",3
"غلط","وانا","غلط وانا",3
"علي","اليوم","علي اليوم",3
"من","العملاء","من العملاء",3
"مع","الجهاز","مع الجهاز",3
"خدمه","احسن","خدمه احسن",3
"اشتري","تلفون","اشتري تلفون",3
"ما","فاهم","ما فاهم",3
"السفر،","بس","السفر، بس",3
"ومو","عارف","ومو عارف",3
"تساعدوني","القي","تساعدوني القي",3
"شي","للحين","شي للحين",3
"بيكون","فيه","بيكون فيه",3
"فيه","تاخير","فيه تاخير",3
"تقدرون","توضحون","تقدرون توضحون",3
"لانه","ما","لانه ما",3
"اللي","طلبته؟","اللي طلبته؟",3
"انا","بالرياض","انا بالرياض",3
"بالرياض","وما","بالرياض وما",3
"خصوصا","وانا","خصوصا وانا",3
"وانا","من","وانا من",3
"الوضع","ما","الوضع ما",3
"انا","جديد","انا جديد",3
"سمحت","ابغي","سمحت ابغي",3
"اللي","تناسبني","اللي تناسبني",3
"ف","صلاله","ف صلاله",3
"استرجاع","كامل","استرجاع كامل",3
"اتوقع","خدمه","اتوقع خدمه",3
"سريع،","والا","سريع، والا",3
"طلبت","شنط","طلبت شنط",3
"يصير","لي","يصير لي",3
"قبل","يومين،","قبل يومين،",3
"ريت","لو","ريت لو",3
"بسرعه،","ما","بسرعه، ما",3
"ما","وصل","ما وصل",3
"البنك","ما","البنك ما",3
"فاهم","شلون","فاهم شلون",3
"شلون","اطلب","شلون اطلب",3
"ان","الامور","ان الامور",3
"ومو","فاهم","ومو فاهم",3
"اختار","اللي","اختار اللي",3
"ما","افهم","ما افهم",3
"افهم","كيف","افهم كيف",3
"تطلع","لي","تطلع لي",3
"البنك،","ما","البنك، ما",3
"اسمه","،","اسمه ،",3
"ما","جربت","ما جربت",3
"من","المحل،","من المحل،",3
"الله","يعطيكم","الله يعطيكم",3
"علي","المعلومات","علي المعلومات",3
"حد","يشرح","حد يشرح",3
"جواب","واضح","جواب واضح",3
"زينه","و","زينه و",3
"و","الحين","و الحين",3
"ما","عارف","ما عارف",3
"توني","شفت","توني شفت",3
"ال","؟","ال ؟",3
"بخلي","اخوي","بخلي اخوي",3
"لونه","اسود،","لونه اسود،",3
"اللعبه","اللي","اللعبه اللي",3
"بس","طلعت","بس طلعت",3
"كان","يبيها","كان يبيها",3
"شنو","الحل","شنو الحل",3
"و","ما","و ما",3
"تقدرون","تحلون","تقدرون تحلون",3
"عليكم","السلام،","عليكم السلام،",3
"المشكله","بالضبط؟","المشكله بالضبط؟",3
"شو","عندكم","شو عندكم",3
"لي","علي","لي علي",3
"خصوصا","انه","خصوصا انه",3
"فيه","هديه","فيه هديه",3
"عن","الالوان","عن الالوان",3
"طلبت","اليوم،","طلبت اليوم،",3
"حاجه","تكون","حاجه تكون",3
"السبب","ان","السبب ان",3
"ممكن","شي","ممكن شي",3
"وعندي","شويه","وعندي شويه",3
"القرار","قبل","القرار قبل",3
"في","الوقت","في الوقت",3
"شيء","مو","شيء مو",3
"ميلاد،","ودي","ميلاد، ودي",3
"لكن","هالمره","لكن هالمره",3
"المنتجين","اللي","المنتجين اللي",3
"واحتاج","شيء","واحتاج شيء",3
"اذا","المنتج","اذا المنتج",3
